ArtistID,Main Artist,Spotify Found,Full Name,Country,Birth Date,Group Members,Found Wiki,Wiki URL,Gender,Cleaned Main Artist,US State,State ID
A0,Aerosmith,1.0,,United States,,5.0,1,https://en.wikipedia.org/wiki/Aerosmith,,Aerosmith,Massachusetts,MA
A1,Monica,1.0,Monica Denise Arnold,United States,1980-10-24,1.0,1,https://en.wikipedia.org/wiki/Monica_(singer),F,Monica,Georgia,GA
A2,Jennifer Paige,1.0,,United States,1973-09-03,1.0,1,https://en.wikipedia.org/wiki/Jennifer_Paige,F,Jennifer Paige,Georgia,GA
A3,Usher,1.0,Usher Raymond IV[1][2],United States,1978-10-14,1.0,1,https://en.wikipedia.org/wiki/Usher_(musician),M,Usher,Texas,TX
A4,Brandy,1.0,Brandy Rayana Norwood,United States,1979-02-11,1.0,1,https://en.wikipedia.org/wiki/Brandy_Norwood,F,Brandy,Mississippi,MS
A5,Inoj,1.0,,United States,1976-11-27,1.0,1,https://en.wikipedia.org/wiki/INOJ,F,Inoj,Wisconsin,WI
A6,Edwin McCain,1.0,,,1970-01-20,1.0,1,https://en.wikipedia.org/wiki/Edwin_McCain,M,Edwin Mccain,,
A7,Tatyana Ali,1.0,Tatyana Marisol Ali,United States,1979-01-24,1.0,1,https://en.wikipedia.org/wiki/Tatyana_Ali,F,Tatyana Ali,New York,NY
A8,Next,1.0,,,,,0,,,Next,,
A9,Shania Twain,1.0,Eilleen Regina Edwards,Canada,1965-08-28,1.0,1,https://en.wikipedia.org/wiki/Shania_Twain,F,Shania Twain,,
A10,Five,1.0,,United Kingdom,,5.0,1,https://en.wikipedia.org/wiki/Five_(group),,Five,,
A11,Mase,1.0,,United States,1975-08-27,1.0,1,https://en.wikipedia.org/wiki/Mase,M,Mase,New York,NY
A12,Faith Hill,1.0,,United States,1967-09-21,1.0,1,https://en.wikipedia.org/wiki/Faith_Hill,F,Faith Hill,Mississippi,MS
A13,Montell Jordan,1.0,,,1968-12-03,1.0,1,https://en.wikipedia.org/wiki/Montell_Jordan,M,Montell Jordan,,
A14,All Saints,1.0,,United Kingdom,,1.0,1,https://en.wikipedia.org/wiki/All_Saints_(group),,All Saints,,
A15,Gerald Levert,1.0,,United States,1966-07-13,1.0,1,https://en.wikipedia.org/wiki/Gerald_Levert,M,Gerald Levert,Pennsylvania,PA
A16,Sarah McLachlan,1.0,,Canada,1968-01-28,1.0,1,https://en.wikipedia.org/wiki/Sarah_McLachlan,F,Sarah Mclachlan,,
A17,Snoop Dogg,1.0,Cordozar Calvin Broadus Jr.,United States,1971-10-20,1.0,1,https://en.wikipedia.org/wiki/Snoop_Dogg,M,Snoop Dogg,California,CA
A18,Ace Of Base,1.0,,Sweden,,2.0,1,https://en.wikipedia.org/wiki/Ace_of_Base,,Ace Of Base,,
A19,Savage Garden,1.0,,Australia,1993,1.0,1,https://en.wikipedia.org/wiki/Savage_Garden,M,Savage Garden,,
A20,Divine,1.0,Harris Glenn Milstead,United States,1945-10-19,1.0,1,https://en.wikipedia.org/wiki/Divine_(performer),M,Divine,Maryland,MD
A21,Monifah,1.0,,United States,1972-01-28,1.0,1,https://en.wikipedia.org/wiki/Monifah,F,Monifah,New York,NY
A22,Nicole,1.0,,,,,0,,,Nicole,,
A23,Kelly Price,1.0,,United States,1973-04-04,1.0,1,https://en.wikipedia.org/wiki/Kelly_Price,F,Kelly Price,New York,NY
A24,Voices Of Theory,1.0,,,,,0,,,Voices Of Theory,,
A25,Pressha,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/Pressha,M,Pressha,South Carolina,SC
A26,K-Ci,1.0,,United States,1969-09-02,1.0,1,https://en.wikipedia.org/wiki/K-Ci,M,Kci,North Carolina,NC
A27,Pras Michel,1.0,,United States,1972-10-19,1.0,1,https://en.wikipedia.org/wiki/Pras,,Pras Michel,New Jersey,NJ
A28,Beastie Boys,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/Beastie_Boys,,Beastie Boys,New York,NY
A29,Tamia,1.0,Tamia Marilyn Washington,Canada,1975-05-09,1.0,1,https://en.wikipedia.org/wiki/Tamia,F,Tamia,,
A30,Puff Daddy,0.0,Sean John Combs,United States,1969-11-04,1.0,1,https://en.wikipedia.org/wiki/Sean_Combs,M,Puff Daddy,New York,NY
