,ArtistID,Main Artist,Spotify Found,Full Name,Country,Birth Date,Group Members,Found Wiki,Wiki URL,Gender,Cleaned Main Artist,US State,State ID,nb wins,nb nominations,win rate
0,A0,Aerosmith,1.0,,United States,,5.0,1,https://en.wikipedia.org/wiki/Aerosmith,,Aerosmith,Massachusetts,MA,-1,0,
1,A1,Monica,1.0,Monica Denise Arnold,United States,1980-10-24,1.0,1,https://en.wikipedia.org/wiki/Monica_(singer),F,Monica,Georgia,GA,-1,0,
2,A2,Jennifer Paige,1.0,,United States,1973-09-03,1.0,1,https://en.wikipedia.org/wiki/Jennifer_Paige,F,Jennifer Paige,Georgia,GA,-1,0,
3,A3,Usher,1.0,Usher Raymond IV[1][2],United States,1978-10-14,1.0,1,https://en.wikipedia.org/wiki/Usher_(musician),M,Usher,Texas,TX,0,1,0.0
4,A4,Brandy,1.0,Brandy Rayana Norwood,United States,1979-02-11,1.0,1,https://en.wikipedia.org/wiki/Brandy_Norwood,F,Brandy,Mississippi,MS,-1,0,
5,A5,Inoj,1.0,,United States,1976-11-27,1.0,1,https://en.wikipedia.org/wiki/INOJ,F,Inoj,Wisconsin,WI,-1,0,
6,A6,Edwin McCain,1.0,,,1970-01-20,1.0,1,https://en.wikipedia.org/wiki/Edwin_McCain,M,Edwin Mccain,,,-1,0,
7,A7,Tatyana Ali,1.0,Tatyana Marisol Ali,United States,1979-01-24,1.0,1,https://en.wikipedia.org/wiki/Tatyana_Ali,F,Tatyana Ali,New York,NY,-1,0,
8,A8,Next,1.0,,,,,0,,,Next,,,-1,0,
9,A9,Shania Twain,1.0,Eilleen Regina Edwards,Canada,1965-08-28,1.0,1,https://en.wikipedia.org/wiki/Shania_Twain,F,Shania Twain,,,-1,0,
10,A10,Five,1.0,,United Kingdom,,5.0,1,https://en.wikipedia.org/wiki/Five_(group),,Five,,,-1,0,
11,A11,Mase,1.0,,United States,1975-08-27,1.0,1,https://en.wikipedia.org/wiki/Mase,M,Mase,New York,NY,-1,0,
12,A12,Faith Hill,1.0,,United States,1967-09-21,1.0,1,https://en.wikipedia.org/wiki/Faith_Hill,F,Faith Hill,Mississippi,MS,0,1,0.0
13,A13,Montell Jordan,1.0,,,1968-12-03,1.0,1,https://en.wikipedia.org/wiki/Montell_Jordan,M,Montell Jordan,,,-1,0,
14,A14,All Saints,1.0,,United Kingdom,,1.0,1,https://en.wikipedia.org/wiki/All_Saints_(group),,All Saints,,,-1,0,
15,A15,Gerald Levert,1.0,,United States,1966-07-13,1.0,1,https://en.wikipedia.org/wiki/Gerald_Levert,M,Gerald Levert,Pennsylvania,PA,-1,0,
16,A16,Sarah McLachlan,1.0,,Canada,1968-01-28,1.0,1,https://en.wikipedia.org/wiki/Sarah_McLachlan,F,Sarah Mclachlan,,,-1,0,
17,A17,Snoop Dogg,1.0,Cordozar Calvin Broadus Jr.,United States,1971-10-20,1.0,1,https://en.wikipedia.org/wiki/Snoop_Dogg,M,Snoop Dogg,California,CA,0,4,0.0
18,A18,Ace Of Base,1.0,,Sweden,,2.0,1,https://en.wikipedia.org/wiki/Ace_of_Base,,Ace Of Base,,,-1,0,
19,A19,Savage Garden,1.0,,Australia,1993,1.0,1,https://en.wikipedia.org/wiki/Savage_Garden,M,Savage Garden,,,-1,0,
20,A20,Divine,1.0,Harris Glenn Milstead,United States,1945-10-19,1.0,1,https://en.wikipedia.org/wiki/Divine_(performer),M,Divine,Maryland,MD,-1,0,
21,A21,Monifah,1.0,,United States,1972-01-28,1.0,1,https://en.wikipedia.org/wiki/Monifah,F,Monifah,New York,NY,-1,0,
22,A22,Nicole,1.0,,,,,0,,,Nicole,,,-1,0,
23,A23,Kelly Price,1.0,,United States,1973-04-04,1.0,1,https://en.wikipedia.org/wiki/Kelly_Price,F,Kelly Price,New York,NY,-1,0,
24,A24,Voices Of Theory,1.0,,,,,0,,,Voices Of Theory,,,-1,0,
25,A25,Pressha,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/Pressha,M,Pressha,South Carolina,SC,-1,0,
26,A26,K-Ci,1.0,,United States,1969-09-02,1.0,1,https://en.wikipedia.org/wiki/K-Ci,M,Kci,North Carolina,NC,-1,0,
27,A27,Pras Michel,1.0,,United States,1972-10-19,1.0,1,https://en.wikipedia.org/wiki/Pras,,Pras Michel,New Jersey,NJ,-1,0,
28,A28,Beastie Boys,1.0,,United States,,1.0,1,https://en.wikipedia.org/wiki/Beastie_Boys,,Beastie Boys,New York,NY,-1,0,
29,A29,Tamia,1.0,Tamia Marilyn Washington,Canada,1975-05-09,1.0,1,https://en.wikipedia.org/wiki/Tamia,F,Tamia,,,-1,0,
30,A30,Puff Daddy,0.0,Sean John Combs,United States,1969-11-04,1.0,1,https://en.wikipedia.org/wiki/Sean_Combs,M,Puff Daddy,New York,NY,-1,0,
31,A31,Big Punisher,1.0,,United States,1971-11-10,1.0,1,https://en.wikipedia.org/wiki/Big_Pun,M,Big Punisher,New York,NY,-1,0,
32,A32,Master P,1.0,Percy Robert Miller,United States,1970-04-29,1.0,1,https://en.wikipedia.org/wiki/Master_P,M,Master P,Louisiana,LA,-1,0,
33,A33,Mya,1.0,Mya Marie Harrison,United States,1979-10-10,1.0,1,https://en.wikipedia.org/wiki/Mya_(singer),F,Mya,New York,NY,-1,0,
34,A34,Tyrese,1.0,Tyrese Darnell Gibson,United States,1978-12-30,1.0,1,https://en.wikipedia.org/wiki/Tyrese_Gibson,M,Tyrese,California,CA,-1,0,
35,A35,Paula Cole,1.0,,United States,1968-04-05,1.0,1,https://en.wikipedia.org/wiki/Paula_Cole,F,Paula Cole,Massachusetts,MA,-1,0,
36,A36,Third Eye Blind,1.0,,United States,,5.0,1,https://en.wikipedia.org/wiki/Third_Eye_Blind,,Third Eye Blind,California,CA,-1,0,
37,A37,Madonna,1.0,Madonna Louise Ciccone,United States,1958-08-16,1.0,1,https://en.wikipedia.org/wiki/Madonna,F,Madonna,Michigan,MI,0,1,0.0
38,A38,Janet,1.0,Janet Damita Jo Jackson,United States,1966-05-16,1.0,1,https://en.wikipedia.org/wiki/Janet_Jackson,F,Janet,Indiana,IN,-1,0,
39,A39,Fuel,1.0,,United States,,5.0,1,https://en.wikipedia.org/wiki/Fuel_(band),,Fuel,Pennsylvania,PA,-1,0,
40,A40,LeAnn Rimes,1.0,Margaret LeAnn Rimes,United States,1982-08-28,1.0,1,https://en.wikipedia.org/wiki/LeAnn_Rimes,F,Leann Rimes,Mississippi,MS,-1,0,
41,A41,Will Smith,1.0,Willard Carroll Smith II,United States,1968-09-25,1.0,1,https://en.wikipedia.org/wiki/Will_Smith,M,Will Smith,Pennsylvania,PA,-1,0,
42,A42,Cam'Ron,1.0,,United States,1976-02-04,1.0,1,https://en.wikipedia.org/wiki/Cam%27ron,M,Camron,New York,NY,-1,0,
43,A43,Marcy Playground,1.0,,United States,,3.0,1,https://en.wikipedia.org/wiki/Marcy_Playground,,Marcy Playground,New York,NY,-1,0,
44,A44,Noreaga,1.0,,United States,1977-09-06,1.0,1,https://en.wikipedia.org/wiki/N.O.R.E.,M,Noreaga,New York,NY,-1,0,
45,A45,Jagged Edge,1.0,,,,,0,,,Jagged Edge,,,-1,0,
46,A46,Rod Stewart,1.0,Roderick David Stewart,United Kingdom,1945-01-10,1.0,1,https://en.wikipedia.org/wiki/Rod_Stewart,M,Rod Stewart,,,-1,0,
47,A47,Nate Dogg,1.0,Nathaniel Dwayne Hale,United States,1969-08-19,1.0,1,https://en.wikipedia.org/wiki/Nate_Dogg,M,Nate Dogg,California,CA,-1,0,
48,A48,JD,1.0,,,,,0,,,Jd,,,-1,0,
49,A49,P.M. Dawn,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/P.M._Dawn,,Pm Dawn,New Jersey,NJ,-1,0,
50,A50,Fleetwood Mac,1.0,,United Kingdom,,1.0,1,https://en.wikipedia.org/wiki/Fleetwood_Mac,,Fleetwood Mac,,,-1,0,
51,A51,Cleopatra,1.0,,United Kingdom,,3.0,1,https://en.wikipedia.org/wiki/Cleopatra_(group),,Cleopatra,,,-1,0,
52,A52,69 Boyz,1.0,,United States,,2.0,1,https://en.wikipedia.org/wiki/69_Boyz,,69 Boyz,Florida,FL,-1,0,
53,A53,Gloria Estefan,1.0,,United States,1957-09-01,1.0,1,https://en.wikipedia.org/wiki/Gloria_Estefan,F,Gloria Estefan,Florida,FL,-1,0,
54,A54,Spice Girls,1.0,,United Kingdom,,1.0,1,https://en.wikipedia.org/wiki/Spice_Girls,,Spice Girls,,,-1,0,
55,A55,Solo,1.0,Shawn Darnell Fonteno,United States,,1.0,1,https://en.wikipedia.org/wiki/Shawn_Fonteno,M,Solo,California,CA,-1,0,
56,A56,Mos Def,1.0,,United States,1973-12-11,1.0,1,https://en.wikipedia.org/wiki/Yasiin_Bey,M,Mos Def,New York,NY,-1,0,
57,A57,The Wilkinsons,1.0,,Canada,,1.0,1,https://en.wikipedia.org/wiki/The_Wilkinsons,M,The Wilkinsons,,,-1,0,
58,A58,Xzibit,1.0,,United States,1974-09-18,1.0,1,https://en.wikipedia.org/wiki/Xzibit,M,Xzibit,California,CA,-1,0,
59,A59,Rockell,1.0,,United States,1977-03-04,1.0,1,https://en.wikipedia.org/wiki/Rockell,F,Rockell,New York,NY,-1,0,
60,A60,Debelah Morgan,1.0,,United States,1977-09-29,1.0,1,https://en.wikipedia.org/wiki/Debelah_Morgan,F,Debelah Morgan,Michigan,MI,-1,0,
61,A61,Hannah Jones,1.0,,,,,0,,,Hannah Jones,,,-1,0,
62,A62,Stars On 54: Ultra Nate,0.0,,,,,0,,,Stars On 54 Ultra Nate,,,-1,0,
63,A63,Pure Sugar,0.0,,,,,0,,,Pure Sugar,,,-1,0,
64,A64,Queen Latifah,1.0,Dana Elaine Owens,United States,1970-03-18,1.0,1,https://en.wikipedia.org/wiki/Queen_Latifah,F,Queen Latifah,New Jersey,NJ,-1,0,
65,A65,Cypress Hill,1.0,,United States,,4.0,1,https://en.wikipedia.org/wiki/Cypress_Hill,,Cypress Hill,California,CA,-1,0,
