Grammy,Year,Category,Main Artist,Artist,Cleaned Song or Album,Song or Album,Win,Cleaned Main Artist,Wiki URL,ArtistID,Song ID
67,2024,Record Of The Year,Kendrick Lamar,Kendrick Lamar,Not Like Us,Not Like Us,1,Kendrick Lamar,https://en.wikipedia.org/wiki/Kendrick_Lamar,A1382,S133800
67,2024,Record Of The Year,Taylor Swift,Taylor Swift Featuring Post Malone,Fortnight,Fortnight,0,Taylor Swift,https://en.wikipedia.org/wiki/Taylor_Swift,A967,S133600
67,2024,Record Of The Year,Chappell Roan,Chappell Roan,Good Luck Babe!,"Good Luck, Babe!",0,Chappell Roan,https://en.wikipedia.org/wiki/Chappell_Roan,A2223,S133476
67,2024,Record Of The Year,Billie Eilish,Billie Eilish,Birds Of A Feather,BIRDS OF A FEATHER,0,Billie Eilish,https://en.wikipedia.org/wiki/Billie_Eilish,A1833,S134012
67,2024,Record Of The Year,Charli Xcx,Charli xcx,360,360,0,Charli Xcx,https://en.wikipedia.org/wiki/Charli_XCX,A1524,S134372
67,2024,Record Of The Year,Sabrina Carpenter,Sabrina Carpenter,Espresso,Espresso,0,Sabrina Carpenter,https://en.wikipedia.org/wiki/Sabrina_Carpenter,A2001,S133506
67,2024,Record Of The Year,Beyoncé,Beyoncé,Texas Hold 'Em,TEXAS HOLD 'EM,0,Beyonce,https://en.wikipedia.org/wiki/Beyonc%C3%A9,A669,S132601
67,2024,Record Of The Year,The Beatles,The Beatles,Now And Then,Now And Then,0,The Beatles,https://en.wikipedia.org/wiki/The_Beatles,A2191,S131206
67,2024,Song Of The Year,Kendrick Lamar,Kendrick Lamar,Not Like Us,Not Like Us,1,Kendrick Lamar,https://en.wikipedia.org/wiki/Kendrick_Lamar,A1382,S133800
67,2024,Song Of The Year,Beyoncé,Beyoncé,Texas Hold 'Em,TEXAS HOLD 'EM,0,Beyonce,https://en.wikipedia.org/wiki/Beyonc%C3%A9,A669,S132601
67,2024,Song Of The Year,Sabrina Carpenter,Sabrina Carpenter,Please Please Please,Please Please Please,0,Sabrina Carpenter,https://en.wikipedia.org/wiki/Sabrina_Carpenter,A2001,S134301
67,2024,Song Of The Year,Chappell Roan,Chappell Roan,Good Luck Babe!,"Good Luck, Babe!",0,Chappell Roan,https://en.wikipedia.org/wiki/Chappell_Roan,A2223,S133476
67,2024,Song Of The Year,Taylor Swift,Taylor Swift Featuring Post Malone,Fortnight,Fortnight,0,Taylor Swift,https://en.wikipedia.org/wiki/Taylor_Swift,A967,S133600
67,2024,Song Of The Year,Lady Gaga,Lady Gaga & Bruno Mars,Die With A Smile,Die With A Smile,0,Lady Gaga,https://en.wikipedia.org/wiki/Lady_Gaga,A1115,S135302
67,2024,Song Of The Year,Billie Eilish,Billie Eilish,Birds Of A Feather,BIRDS OF A FEATHER,0,Billie Eilish,https://en.wikipedia.org/wiki/Billie_Eilish,A1833,S134012
67,2024,Song Of The Year,Shaboozey,Shaboozey,A Bar Song,A Bar Song (Tipsy),0,Shaboozey,https://en.wikipedia.org/wiki/Shaboozey,A2225,S133535
67,2024,Best Rap Song,Kendrick Lamar,Kendrick Lamar,Not Like Us,Not Like Us,1,Kendrick Lamar,https://en.wikipedia.org/wiki/Kendrick_Lamar,A1382,S133800
67,2024,Best Rap Song,Glorilla,GloRilla,Yeah Glo!,Yeah Glo!,0,Glorilla,https://en.wikipedia.org/wiki/GloRilla,A2126,S132688
67,2024,Best Rap Song,Future,Future & Metro Boomin Featuring Kendrick Lamar,Like That,Like That,0,Future,https://en.wikipedia.org/wiki/Future_(rapper),A1359,S133200
67,2024,Best Rap Song,Kanye West,¥$ (Kanye West & Ty Dolla $Ign,Carnival,Carnival,0,Kanye West,https://en.wikipedia.org/wiki/Kanye_West,A717,S132602
67,2024,Best Rap Song,Rapsody,Rapsody Featuring Hit-Boy,Asteroids,Asteroids,0,Rapsody,https://en.wikipedia.org/wiki/Rapsody,A2255,S135800
66,2023,Record Of The Year,Miley Cyrus,Miley Cyrus,Flowers,Flowers,1,Miley Cyrus,https://en.wikipedia.org/wiki/Miley_Cyrus,A1032,S127000
66,2023,Record Of The Year,Sza,SZA,Kill Bill,Kill Bill,0,Sza,https://en.wikipedia.org/wiki/SZA,A1761,S126502
66,2023,Record Of The Year,Taylor Swift,Taylor Swift,Anti-Hero,Anti-Hero,0,Taylor Swift,https://en.wikipedia.org/wiki/Taylor_Swift,A967,S125800
66,2023,Record Of The Year,Olivia Rodrigo,Olivia Rodrigo,Vampire,vampire,0,Olivia Rodrigo,https://en.wikipedia.org/wiki/Olivia_Rodrigo,A1934,S129400
66,2023,Record Of The Year,Victoria Monét,Victoria Monét,On My Mama,On My Mama,0,Victoria Monet,https://en.wikipedia.org/wiki/Victoria_Mon%C3%A9t,A2184,S130297
